date,AVGTemp,TMAX,TMIN
2017/1/1,19.5,25,15.6
2017/1/2,20.1,25,17.3
2017/1/3,20.3,25.4,17
2017/1/4,20.6,24.9,17.9
2017/1/5,20.7,26.4,18
2017/1/6,19.9,25.4,17.3
2017/1/7,21,25.7,18.6
2017/1/8,21.5,26.8,18.3
2017/1/9,19,25.2,15.6
2017/1/10,18.5,24.8,14.7
2017/1/11,19.3,26,14.8
2017/1/12,19.6,24,17.5
2017/1/13,18,21.2,14.9
2017/1/14,15.2,18.5,12.8
2017/1/15,16.1,19.2,/
2017/1/16,16.7,21.3,/
2017/1/17,17.7,23,14.4
2017/1/18,19.2,24.2,16.8
2017/1/19,20,26.1,17.3
2017/1/20,16.3,20.7,12.3
2017/1/21,14.9,20.4,12.6
2017/1/22,15.9,21.6,12.8
2017/1/23,16.2,22.5,12.5
2017/1/24,16.3,21.4,13.5
2017/1/25,16.3,22.6,14
2017/1/26,16.5,23.1,12.2
2017/1/27,17.1,23.6,11.9
2017/1/28,18.1,26.8,12.3
2017/1/29,19.8,28,16
2017/1/30,19.5,25.9,14.9
2017/1/31,17.4,22.1,14.1
2017/2/1,18.3,21.8,15.5
2017/2/2,16.9,21.4,14.7
2017/2/3,17.7,23.1,/
2017/2/4,18.5,22.6,16.9
2017/2/5,18.4,22.7,16.3
2017/2/6,18.2,24.3,15.3
2017/2/7,17.9,22.9,14.5
2017/2/8,18.3,22.7,15.7
2017/2/9,13.5,16.8,11.6
2017/2/10,12.8,17,9.9
2017/2/11,12.4,14.7,10.5
2017/2/12,14.6,19.8,10.8
2017/2/13,16.4,22.6,11.5
2017/2/14,16.7,23.4,11.7
2017/2/15,16.5,22.1,12.5
2017/2/16,18.4,25,13.6
2017/2/17,20.4,26.7,15
2017/2/18,18.6,23.7,16
2017/2/19,18.7,25.7,14.8
2017/2/20,22.7,30.2,17.7
2017/2/21,20.6,25.6,18.1
2017/2/22,20.8,23.7,17.6
2017/2/23,19.2,24.6,13.2
2017/2/24,13.6,15.2,12.1
2017/2/25,14.2,16.8,12.1
2017/2/26,14.5,17.9,12.7
2017/2/27,15.9,20.6,12.7
2017/2/28,17.3,23,13.2
2017/3/1,18.3,22.1,15.5
2017/3/2,17.2,22.5,12.9
2017/3/3,16.7,21.9,11.7
2017/3/4,20.4,25.9,16.1
2017/3/5,22.7,28.7,17.4
2017/3/6,18.9,21.8,15.5
2017/3/7,15.3,18.2,/
2017/3/8,14.3,15.6,12.9
2017/3/9,18,21.9,13.8
2017/3/10,20.4,28.1,17.7
2017/3/11,20.4,24.4,17.5
2017/3/12,21.9,28,18.6
2017/3/13,24.1,29.9,19.9
2017/3/14,16.6,19.9,14.7
2017/3/15,17.7,23.8,14.7
2017/3/16,18.1,21.5,16.1
2017/3/17,19.7,24.7,16
2017/3/18,21.4,26.3,18.5
2017/3/19,21.8,26.3,19.6
2017/3/20,23.1,27.7,18.1
2017/3/21,22.9,29.1,18.5
2017/3/22,21,27.3,17.7
2017/3/23,21.7,29.2,17.5
2017/3/24,21.9,29.1,17.1
2017/3/25,19.9,24.8,15.3
2017/3/26,14.6,15.6,13.3
2017/3/27,19.4,26.1,13.4
2017/3/28,21,26.5,15.7
2017/3/29,22.3,28.4,18.4
2017/3/30,22.9,28.1,18.5
2017/3/31,22.2,31.1,15.2
2017/4/1,17,21.7,13.5
2017/4/2,18.2,24.7,11.9
2017/4/3,20.2,26.8,13.5
2017/4/4,21.1,25.2,15.7
2017/4/5,23.1,28.2,19.3
2017/4/6,23.7,29.3,19.5
2017/4/7,24.9,29.7,22.1
2017/4/8,26.3,31.7,21.9
2017/4/9,26.3,31.1,23.1
2017/4/10,27.6,32.9,23.6
2017/4/11,26.8,31.1,19.6
